APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range,Latitude,Longitude
2014023015,2024,22955 BLYTHE ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2147723,-118.4837008
2014026003,2022,23055 STRATHERN ST,LOS ANGELES,91304.0,3,12,12.0,300,3-4 units,34.2153164,-118.6298287
2014027013,2022,23008 BLYTHE ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2147723,-118.4837008
2014029015,2023,23057 INGOMAR ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.212104,-118.6299203
2014029028,2020,7923 DUCOR AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2143775,-118.6296012
2014030017,2023,7817 SEDAN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2124345,-118.6305187
2014030026,2019,7917 SEDAN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2141632,-118.6305385
2014031009,2021,7840 WOODLAKE AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2130699,-118.6319258
2014031016,2021,7809 QUIMBY AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,41.5098091,-81.6395886
2014031025,2019,7901 QUIMBY AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,41.5098091,-81.6395886
2014033006,2021,23027 SATICOY ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2085031,-118.628872
2014033007,2021,23021 SATICOY ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2085211,-118.6286441
2014033012,2021,23006 LULL ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2089407,-118.6282065
2014033018,2022,23046 LULL ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2089279,-118.629515
2014034027,2023,7743 DUCOR AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2112989,-118.6290242
2014034029,2024,7755 DUCOR AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2117219,-118.6290138
2014034037,2022,7706 DUCOR AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2104668,-118.628439
