APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
6040033027,2019,212 W 90TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6040033028,2019,208 W 90TH ST NO 2,LOS ANGELES,90003,4,8,8,400,3-4 units
6040033030,2019,200 W 90TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6040034006,2019,9023 S MAIN ST,LOS ANGELES,90003,5,8,8,1210,5-10 units
6040034013,2019,141 W 91ST ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6040034017,2021,157 W 91ST ST,LOS ANGELES,90003,2,8,8,200,2 units
6040034019,2019,150 W 90TH ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6040034028,2019,114 W 90TH ST,LOS ANGELES,90003,2,8,8,200,2 units
6040035012,2019,141 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040035013,2019,145 W 92ND ST,LOS ANGELES,90003,4,8,8,300,3-4 units
6040035017,2019,154 W 91ST ST,LOS ANGELES,90003,2,8,8,200,2 units
6040035019,2019,146 W 91ST ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036002,2019,201 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036004,2019,211 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036005,2019,215 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036007,2019,223 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036008,2019,227 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036009,2019,231 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036010,2019,235 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036012,2019,243 W 92ND ST,LOS ANGELES,90003,2,8,8,300,2 units
6040036014,2019,9124 S BROADWAY,LOS ANGELES,90003,8,8,8,500,5-10 units
6040036019,2019,246 W 91ST ST,LOS ANGELES,90003,2,8,8,200,2 units
6040036020,2019,242 W 91ST ST,LOS ANGELES,90003,2,8,8,200,2 units
6040037005,2019,338 W 91ST PL,LOS ANGELES,90003,2,8,8,200,2 units
