APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit,Latitude,Longitude
2249007007,5/11/2012,2012,4,14625 W MAGNOLIA BLVD,SHERMAN OAKS ,91403.0,4.0,30.0,34.1650516,-118.4301232
2250004006,12/16/2013,2013,4,5324 N SEPULVEDA BLVD,VAN NUYS ,91411.0,3.0,7.0,34.1674644,-118.4657481
2263002013,11/7/2016,2016,4,15206 W MAGNOLIA BLVD,LOS ANGELES ,91403.0,4.0,10.0,34.1650532,-118.4281802
2263002014,11/7/2016,2016,4,15200 W MAGNOLIA BLVD,LOS ANGELES ,91403.0,3.0,0.0,34.1650532,-118.4281802
2263005010,8/7/2013,2013,4,14944 W MAGNOLIA BLVD,SHERMAN OAKS ,91403.0,3.0,18.0,34.1650532,-118.4281802
2263005011,8/7/2013,2013,4,14950 W MAGNOLIA BLVD,VAN NUYS ,91403.0,3.0,0.0,34.1650532,-118.4281802
2263013015,7/11/2022,2022,4,4925 N KESTER AVE,SHERMAN OAKS ,91403.0,3.0,4.0,34.1602413,-118.4579046
2263017003,11/19/2015,2015,4,4966 N SEPULVEDA BLVD,SHERMAN OAKS ,91403.0,3.0,,34.1281642,-118.4801929
2263017004,11/19/2015,2015,4,4962 N SEPULVEDA BLVD,LOS ANGELES ,91403.0,5.0,,34.1281642,-118.4801929
2263017005,11/19/2015,2015,4,4956 N SEPULVEDA BLVD,SHERMAN OAKS ,91403.0,6.0,,34.1281642,-118.4801929
2263030023,5/2/2023,2023,4,14841 W HESBY ST,LOS ANGELES ,91403.0,2.0,,34.16224,-118.45668
2264003013,2/10/2020,2020,4,4818 N SEPULVEDA BLVD,LOS ANGELES ,91403.0,2.0,,34.1281642,-118.4801929
2264003016,11/6/2019,2019,4,4812 N SEPULVEDA BLVD,LOS ANGELES ,91403.0,4.0,,34.1281642,-118.4801929
2264003039,3/8/2021,2021,4,4812 N SEPULVEDA BLVD,SHERMAN OAKS ,91403.0,2.0,,34.1281642,-118.4801929
2264004012,11/14/2012,2012,4,4742 1/2 N SEPULVEDA BLVD,SHERMAN OAKS ,91403.0,3.0,0.0,34.1281642,-118.4801929
2264004013,11/14/2012,2012,4,4746 N SEPULVEDA BLVD,SHERMAN OAKS ,91403.0,3.0,19.0,34.1281642,-118.4801929
2264016077,9/22/2016,2016,4,15012 W MOORPARK ST,SHERMAN OAKS ,91403.0,6.0,,34.15347,-118.460115
2264020028,11/7/2018,2018,4,4615 N KESTER AVE,LOS ANGELES ,91403.0,2.0,,34.1544203,-118.4577905
2265004002,4/12/2017,2017,4,14655 W MOORPARK ST,SHERMAN OAKS ,91403.0,3.0,,34.1527414,-118.452647
2265011002,7/25/2007,2007,4,4438 N VISTA DEL MONTE AVE,Los Angeles ,91403.0,4.0,,34.152195,-118.449601
2265022032,5/20/2014,2014,4,4485 N HAZELTINE AVE,SHERMAN OAKS ,91423.0,5.0,5.0,34.1528752,-118.4402592
